lat_bin,lon_bin,rides,revenue,avg_price,avg_duration,unique_scooters,unique_users,ends,net_flow
52.38,13.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.39,13.125,1.0,0.41,0.41,26.883333,1.0,1.0,0.0,-1.0
52.395,13.125,1.0,2.08,2.08,0.266667,1.0,1.0,1.0,0.0
52.395,13.13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.395,13.41,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.395,13.42,1.0,5.08,5.08,7.0,1.0,1.0,0.0,-1.0
52.410000000000004,13.315,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
52.415,13.365,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.415,13.49,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.42,13.325000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.42,13.370000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.42,13.475,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.42,13.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.425000000000004,13.47,1.0,7.19,7.19,39.75,1.0,1.0,1.0,0.0
52.425000000000004,13.475,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
52.425000000000004,13.48,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.425000000000004,13.545,1.0,10.5,10.5,8.05,1.0,1.0,1.0,0.0
52.43,13.26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.43,13.47,1.0,6.14,6.14,60.533333,1.0,1.0,0.0,-1.0
52.43,13.535,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.43,13.545,1.0,0.72,0.72,42.966667,1.0,1.0,1.0,0.0
52.435,13.26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.435,13.280000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.435,13.345,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.435,13.445,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.435,13.465,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
52.435,13.515,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.435,13.530000000000001,2.0,9.02,4.51,24.525,2.0,2.0,4.0,2.0
52.435,13.540000000000001,3.0,23.38,7.793333333333333,11.216666666666667,3.0,2.0,6.0,3.0
52.435,13.545,5.0,6.78,1.356,33.7966666,4.0,5.0,8.0,3.0
52.435,13.56,3.0,24.64,8.213333333333333,22.955555666666665,3.0,3.0,2.0,-1.0
