START_HOUR,Mon,Tue,Wed,Thu,Fri,Sat,Sun
0,749,733,787,922,1091,1650,1756
1,561,545,538,654,748,1307,1352
2,339,308,327,408,518,856,993
3,206,203,243,226,329,665,748
4,105,150,138,137,178,415,524
5,98,83,82,99,116,293,352
6,111,124,136,144,133,184,208
7,267,322,379,332,344,165,156
8,598,818,796,787,730,275,218
9,783,975,1010,951,878,589,493
10,871,975,991,985,995,1206,1124
11,1119,1325,1243,1221,1391,1869,2086
12,1422,1434,1424,1535,1723,2303,2687
13,1704,1676,1583,1646,1957,2844,3397
14,1788,1704,1714,1939,1981,3134,3634
15,1883,1853,1893,1843,2135,3434,3674
16,2005,1990,2072,1931,2074,3782,3654
17,1858,2094,2230,1974,2151,3711,3369
18,1947,2284,2386,2406,2442,3570,2895
19,1924,2235,2190,2183,2461,2985,2543
20,1679,1943,1832,1828,2413,2983,2354
21,1566,1653,1643,1591,2283,2538,1897
22,1238,1408,1399,1646,2102,2356,1563
23,1066,1149,1166,1444,1828,1965,1206
