START_HOUR,rides,revenue,avg_price
0,7688,42302.73,5.502436264308013
1,5705,32173.51,5.639528483786152
2,3749,21390.69,5.705705521472392
3,2620,15958.52,6.091038167938931
4,1647,10415.32,6.32381299332119
5,1123,7543.36,6.717150489759573
6,1040,7538.53,7.248586538461538
7,1965,13228.02,6.73181679389313
8,4222,27438.49,6.498931785883468
9,5679,35523.33,6.255208663497095
10,7147,38780.67,5.426146634951728
11,10254,53369.51,5.204750341330213
12,12528,64868.59,5.1778887292464875
13,14807,74758.34,5.048851219018032
14,15894,78322.8,4.927821819554549
15,16715,81768.88,4.891946156147173
16,17508,87137.74,4.9770242175005714
17,17387,88795.34,5.1069960315178005
18,17930,95168.33,5.307770775237033
19,16521,88237.83,5.340949700381333
20,15032,77943.91,5.185198908994146
21,13171,68300.72,5.185689772986106
22,11712,61056.27,5.213137807377049
23,9824,51850.22,5.277913273615635
