,actual,forecast
2019-06-21,1069.0,
2019-06-22,4080.0,
2019-06-23,2869.0,
2019-06-24,2060.0,
2019-06-25,1933.0,
2019-06-26,1089.0,
2019-06-27,1029.0,
2019-06-28,1218.0,
2019-06-29,1241.0,
2019-06-30,2324.0,
2019-07-01,1883.0,
2019-07-02,1563.0,
2019-07-03,1720.0,
2019-07-04,2269.0,
2019-07-05,2424.0,
2019-07-06,3953.0,
2019-07-07,2803.0,
2019-07-08,1116.0,
2019-07-09,1340.0,
2019-07-10,1497.0,
2019-07-11,1624.0,
2019-07-12,1591.0,
2019-07-13,2694.0,
2019-07-14,2625.0,
2019-07-15,1809.0,
2019-07-16,2214.0,
2019-07-17,2721.0,
2019-07-18,2469.0,
2019-07-19,2450.0,
2019-07-20,2784.0,
2019-07-21,2379.0,
2019-07-22,2066.0,
2019-07-23,2469.0,
2019-07-24,2486.0,
2019-07-25,2354.0,
2019-07-26,2552.0,
2019-07-27,3548.0,
2019-07-28,3598.0,
2019-07-29,2221.0,
2019-07-30,2716.0,
2019-07-31,2000.0,
2019-08-01,2513.0,
2019-08-02,2479.0,
2019-08-03,3753.0,
2019-08-04,3027.0,
2019-08-05,2587.0,
2019-08-06,2650.0,
2019-08-07,2947.0,
2019-08-08,2695.0,
2019-08-09,3295.0,
2019-08-10,4239.0,
2019-08-11,3608.0,
2019-08-12,2573.0,
2019-08-13,2288.0,
2019-08-14,2361.0,
2019-08-15,2739.0,
2019-08-16,3219.0,
2019-08-17,3657.0,
2019-08-18,2286.0,
2019-08-19,2092.0,
2019-08-20,2202.0,
2019-08-21,2124.0,
2019-08-22,1988.0,
2019-08-23,2380.0,
2019-08-24,2902.0,
2019-08-25,2396.0,
2019-08-26,1725.0,
2019-08-27,2074.0,
2019-08-28,2011.0,
2019-08-29,1993.0,
2019-08-30,2462.0,
2019-08-31,3003.0,
2019-09-01,2195.0,
2019-09-02,1551.0,
2019-09-03,1693.0,
2019-09-04,1755.0,
2019-09-05,1715.0,
2019-09-06,2336.0,
2019-09-07,2362.0,
2019-09-08,2063.0,
2019-09-09,947.0,
2019-09-10,1481.0,
2019-09-11,1623.0,
2019-09-12,1514.0,
2019-09-13,1831.0,
2019-09-14,2221.0,
2019-09-15,1530.0,
2019-09-16,1136.0,
2019-09-17,964.0,
2019-09-18,1335.0,
2019-09-19,1299.0,
2019-09-20,1784.0,
2019-09-21,2274.0,
2019-09-22,7437.0,
2019-09-23,1222.0,
2019-09-24,1381.0,
2019-09-25,1223.0,
2019-09-26,1482.0,
2019-09-27,1017.0,
2019-09-28,1250.0,
2019-09-29,792.0,
2019-09-30,817.0,
2019-10-01,1016.0,
2019-10-02,1310.0,
2019-10-03,1149.0,
2019-10-04,894.0,
2019-10-05,1118.0,
2019-10-06,951.0,
2019-10-07,82.0,
2019-10-08,,467.21289002790627
2019-10-09,,481.4183338320613
2019-10-10,,524.2758655314465
2019-10-11,,668.3938663270567
2019-10-12,,1423.0108358679497
2019-10-13,,1287.1811788721634
2019-10-14,,224.42439634685707
2019-10-15,,383.8955085845183
2019-10-16,,398.10095238867336
2019-10-17,,440.9584840880585
2019-10-18,,585.0764848836687
2019-10-19,,1339.6934544245617
2019-10-20,,1203.8637974287756
2019-10-21,,141.10701490346912
2019-10-22,,300.5781271411304
2019-10-23,,314.7835709452854
2019-10-24,,357.6411026446706
2019-10-25,,501.75910344028074
2019-10-26,,1256.3760729811738
2019-10-27,,1120.5464159853875
2019-10-28,,57.78963346008106
2019-10-29,,217.26074569774235
2019-10-30,,231.4661895018974
2019-10-31,,274.3237212012826
2019-11-01,,418.44172199689274
2019-11-02,,1173.0586915377858
2019-11-03,,1037.2290345419997
2019-11-04,,-25.52774798330688
